step,epoch,loss,accuracy,loss,macro_f1,macro_precision,macro_recall,neg_f1,neu_f1,pos_f1
7800,8.378088077336198,0.1648910492658615,0.9515322076297686,0.1648910492658615,0.8848701273259111,0.922030045205385,0.85823826535459,0.847926267281106,0.8331273176761433,0.9735567970204841
7850,8.431793770139635,0.0144,,0.0144,,,,,,
7900,8.485499462943071,0.16643667221069336,0.9524702939337085,0.16643667221069336,0.8855884024302765,0.9227996961626811,0.8578942126589136,0.8440366972477065,0.8389513108614233,0.9737771991816998
7950,8.53920515574651,0.0011,,0.0011,,,,,,
8000,8.592910848549947,0.16865196824073792,0.9537210756722951,0.16865196824073792,0.8876392699634894,0.9286238629833191,0.8569572581945236,0.847926267281106,0.8402515723270441,0.974739970282318
8050,8.646616541353383,0.0034,,0.0034,,,,,,
8100,8.70032223415682,0.1696794480085373,0.9524702939337085,0.1696794480085373,0.8856950109503048,0.9252754826310055,0.8564595600484491,0.847926267281106,0.835,0.9741587655698085
8150,8.754027926960259,0.0078,,0.0078,,,,,,
8200,8.807733619763695,0.1708354949951172,0.9527829893683553,0.1708354949951172,0.886106921993563,0.9259629545354576,0.8565839845849679,0.847926267281106,0.8360450563204005,0.9743494423791822
8250,8.861439312567132,0.0067,,0.0067,,,,,,
8300,8.915145005370569,0.17022104561328888,0.9534083802376485,0.17022104561328888,0.8872239182966863,0.927922594317848,0.8568328336580051,0.847926267281106,0.8391959798994975,0.9745495077094557
8350,8.968850698174007,0.0064,,0.0064,,,,,,
