step,epoch,loss,f1,loss,precision,recall
8400,32.68482490272373,0.06210340932011604,0.8541753219775655,0.06210340932011604,0.8978165938864628,0.8145800316957211
8450,32.87937743190661,0.0023,,0.0023,,
8500,33.0739299610895,0.062039900571107864,0.8637532133676092,0.062039900571107864,0.9402985074626866,0.7987321711568938
8550,33.268482490272376,0.0036,,0.0036,,
8600,33.463035019455255,0.0638851746916771,0.8486869528970403,0.0638851746916771,0.8953386103781882,0.8066561014263075
8650,33.65758754863813,0.0019,,0.0019,,
8700,33.85214007782101,0.058789871633052826,0.8533333333333333,0.058789871633052826,0.8998242530755711,0.8114104595879557
8750,34.04669260700389,0.0019,,0.0019,,
8800,34.24124513618677,0.06610585004091263,0.8576214405360134,0.06610585004091263,0.9094138543516874,0.8114104595879557
8850,34.43579766536965,0.0023,,0.0023,,
8900,34.63035019455253,0.06399600952863693,0.851362510322048,0.06399600952863693,0.8887931034482759,0.8169572107765452
8950,34.824902723735406,0.0027,,0.0027,,
9000,35.01945525291829,0.06329834461212158,0.8572624529091671,0.06329834461212158,0.9086069210292813,0.8114104595879557
9050,35.21400778210117,0.0022,,0.0022,,
9100,35.40856031128405,0.06593351066112518,0.864385297845374,0.06593351066112518,0.92579185520362,0.8106180665610143
9150,35.60311284046693,0.0024,,0.0024,,
9200,35.797665369649806,0.06892265379428864,0.866355536699194,0.06892265379428864,0.9324200913242009,0.8090332805071315
9250,35.992217898832685,0.0026,,0.0026,,
9300,36.18677042801556,0.0641460120677948,0.8550062318238473,0.0641460120677948,0.8986899563318778,0.8153724247226625
9350,36.38132295719844,0.0016,,0.0016,,
9400,36.57587548638132,0.06770136207342148,0.8587002096436059,0.06770136207342148,0.9118432769367765,0.8114104595879557
9450,36.7704280155642,0.0032,,0.0032,,
9500,36.96498054474708,0.05900310352444649,0.8465651995063761,0.05900310352444649,0.8802395209580839,0.8153724247226625
9550,37.159533073929964,0.0024,,0.0024,,
9600,37.35408560311284,0.05942079424858093,0.8523630280217483,0.05942079424858093,0.9025686448184234,0.8074484944532488
9650,37.54863813229572,0.0019,,0.0019,,
9700,37.7431906614786,0.0650828629732132,0.8534229315413692,0.0650828629732132,0.9079535299374442,0.8050713153724247
9750,37.93774319066148,0.0028,,0.0028,,
9800,38.13229571984436,0.06646226346492767,0.8473029045643153,0.06646226346492767,0.8893728222996515,0.8090332805071315
9850,38.326848249027236,0.0026,,0.0026,,
9900,38.521400778210115,0.06315116584300995,0.8521449396084965,0.06315116584300995,0.8981562774363476,0.8106180665610143
9950,38.715953307392994,0.0019,,0.0019,,
10000,38.91050583657587,0.062244683504104614,0.8548790658882401,0.062244683504104614,0.9022887323943662,0.812202852614897
10050,39.10505836575876,0.002,,0.002,,
10100,39.29961089494164,0.059825073927640915,0.8690783807062876,0.059825073927640915,0.9518867924528301,0.7995245641838352
10150,39.494163424124515,0.0019,,0.0019,,
10200,39.688715953307394,0.062313392758369446,0.8500619578686494,0.062313392758369446,0.8878343399482312,0.8153724247226625
10250,39.88326848249027,0.0018,,0.0018,,
10300,40.07782101167315,0.06095147505402565,0.8743076267575629,0.06095147505402565,0.9456221198156682,0.8129952456418383
10350,40.27237354085603,0.0013,,0.0013,,
10400,40.46692607003891,0.05591939762234688,0.8660752006759611,0.05591939762234688,0.9276018099547512,0.812202852614897
10450,40.66147859922179,0.0012,,0.0012,,
10500,40.856031128404666,0.06360778212547302,0.8352705410821644,0.06360778212547302,0.8450932684509327,0.8256735340729001
10550,41.05058365758755,0.0015,,0.0015,,
10600,41.24513618677043,0.06618057936429977,0.8422339991846718,0.06618057936429977,0.8673383711167086,0.8185419968304279
10650,41.43968871595331,0.0023,,0.0023,,
10700,41.63424124513619,0.06357868760824203,0.8594075928243639,0.06357868760824203,0.9074889867841409,0.8161648177496038
10750,41.82879377431907,0.0012,,0.0012,,
10800,42.023346303501945,0.059002842754125595,0.8517901748542881,0.059002842754125595,0.8973684210526316,0.8106180665610143
10850,42.217898832684824,0.0012,,0.0012,,
10900,42.4124513618677,0.0642075166106224,0.8635403464300804,0.0642075166106224,0.9248868778280543,0.8098256735340729
10950,42.60700389105058,0.0018,,0.0018,,
11000,42.80155642023346,0.059345394372940063,0.8481327800829875,0.059345394372940063,0.8902439024390244,0.8098256735340729
11050,42.99610894941634,0.0014,,0.0014,,
11100,43.190661478599225,0.06467781960964203,0.8639253921153031,0.06467781960964203,0.9288969917958068,0.8074484944532488
11150,43.3852140077821,0.0016,,0.0016,,
